source,house_is,property_subtype,price,postcode,area,rooms_number,equipped_kitchen_has,garden,garden_area,terrace,terrace_area,furnished,swimming_pool_has,land_surface,basement,building_state_agg,open_fire,longitude,latitude,coeff,price_area,fire,pool,furnish,kitchen,status
8668084,FALSE,DUPLEX,895000,8300,175,3,False,False,0,True,0,False,False,0,175,JUST_RENOVATED,False,3.261644,51.3418653,2,4814.2857142857,0,0,0,0,52500
8936353,FALSE,APARTMENT,238000,2800,82,1,True,False,0,True,6,False,False,0,82,AS_NEW,False,4.4773374,51.0203794,2,2047.7272727273,0,0,0,5000,52800
8922226,FALSE,GROUND_FLOOR,370000,8950,185,3,True,False,0,False,0,False,False,0,185,AS_NEW,False,2.8255484,50.7461618,2,1372.972972973,0,0,0,5000,111000
8939551,FALSE,SERVICE_FLAT,150000,1180,58,1,False,False,0,True,10,False,False,0,58,TO_RENOVATE,False,4.335115,50.8066451,2,2505.8823529412,0,0,0,0,-20400
8932748,FALSE,DUPLEX,239000,8434,84,2,True,False,0,True,13,False,False,0,84,AS_NEW,False,2.7558866,51.1463177,2,1812.3711340206,0,0,0,5000,58200
8701348,FALSE,GROUND_FLOOR,229000,8800,79,2,True,False,0,False,0,False,False,0,79,,False,3.1332448,50.9674312,2,2835.4430379747,0,0,0,5000,0
8855403,FALSE,GROUND_FLOOR,450000,8300,58,1,True,False,0,True,0,False,False,0,58,AS_NEW,False,3.2836473,51.3435412,2,7072.4137931035,0,0,0,5000,34800
8907914,FALSE,APARTMENT,129000,1030,42,1,True,False,0,True,22,False,False,0,42,GOOD,False,4.372632,50.8712108,2,1937.5,0,0,0,5000,0
8907803,FALSE,APARTMENT,519000,2000,132,3,False,False,0,True,12,False,False,0,132,AS_NEW,False,4.4051538,51.2307592,2,3004.1666666667,0,0,0,0,86400
8916917,FALSE,APARTMENT,2500000,1050,277,4,True,False,0,True,111,False,False,0,277,AS_NEW,False,4.3653434,50.8334624,2,5830.412371134,0,0,0,5000,232800
8940481,FALSE,APARTMENT,178500,6032,81,2,True,False,0,True,5,False,False,0,81,AS_NEW,False,4.4068,50.3888,2,1417.4418604651,0,0,0,5000,51600
8929643,FALSE,APARTMENT,499000,9400,133,2,True,False,0,True,0,False,False,0,133,,False,4.0205801,50.8365566,2,3714.2857142857,0,0,0,5000,0
8941922,FALSE,FLAT_STUDIO,114900,8400,34,0,False,False,0,True,9,False,False,0,2,TO_RENOVATE,False,2.9080428,51.2277836,2,2972.0930232558,0,0,0,0,-12900
8233218,FALSE,APARTMENT,49500,8420,31,1,False,False,0,False,0,False,False,0,31,GOOD,False,2.998581,51.257134,2,1596.7741935484,0,0,0,0,0
8358283,FALSE,GROUND_FLOOR,115000,6940,54,3,True,False,0,True,20,False,False,0,54,GOOD,False,5.508496,50.337924,2,1486.4864864865,0,0,0,5000,0
8876418,FALSE,APARTMENT,115000,8434,50,1,True,False,0,False,0,True,False,0,50,GOOD,False,2.7732723,51.1691697,2,2000,0,0,10000,5000,0
8310197,FALSE,APARTMENT,138000,4800,90,2,True,False,0,True,0,False,False,0,90,AS_NEW,False,5.8635131,50.5894183,2,877.7777777778,0,0,0,5000,54000
8894446,FALSE,APARTMENT,138000,7060,75,2,True,False,0,False,0,False,False,0,75,GOOD,False,4.0759774,50.5741482,2,1773.3333333333,0,0,0,5000,0
8811504,FALSE,APARTMENT,154000,8434,42,1,True,False,0,False,0,True,False,0,42,GOOD,False,2.8148017,51.1879885,2,3309.5238095238,0,0,10000,5000,0
8821761,FALSE,FLAT_STUDIO,158000,8660,40,0,True,False,0,False,0,False,False,0,40,GOOD,False,2.5872229,51.1019948,2,3825,0,0,0,5000,0
8593350,FALSE,APARTMENT,160000,7000,90,2,True,False,0,False,0,False,False,0,90,GOOD,False,3.9579783,50.4773692,2,1722.2222222222,0,0,0,5000,0
8599978,FALSE,APARTMENT,165000,2300,105,3,True,False,0,True,4,False,False,0,105,GOOD,False,4.9461708,51.3214756,2,1467.8899082569,0,0,0,5000,0
8863460,FALSE,FLAT_STUDIO,175000,8400,35,0,True,False,0,True,4,True,False,0,35,GOOD,False,2.8936816,51.2230699,2,4102.5641025641,0,0,10000,5000,0
8681335,FALSE,APARTMENT,179000,4970,150,3,True,True,600,True,8,True,False,0,150,AS_NEW,False,5.9459696,50.401402,4,224.6753246753,0,0,10000,5000,94800
8865268,FALSE,APARTMENT,185000,1070,81,1,False,False,0,False,0,False,False,0,81,GOOD,False,4.2923778,50.838685,2,2283.950617284,0,0,0,0,0
8744515,FALSE,APARTMENT,198000,2890,93,1,True,False,0,False,0,False,False,0,93,JUST_RENOVATED,False,4.2035677,51.0550824,2,1775.2688172043,0,0,0,5000,27900
8773223,FALSE,APARTMENT,184000,2850,70,2,True,False,0,True,9,False,False,0,70,GOOD,False,4.3631294,51.0917736,2,2265.8227848101,0,0,0,5000,0
8676655,FALSE,APARTMENT,215500,2660,86,2,True,False,0,True,8,False,False,0,86,AS_NEW,False,4.3493105,51.1793353,2,1639.3617021277,0,0,0,5000,56400
8804083,FALSE,APARTMENT,234320,7000,69,1,True,False,0,True,0,False,False,0,69,,False,3.9483419,50.450444,2,3323.4782608696,0,0,0,5000,0
8838186,FALSE,APARTMENT,235000,1060,50,1,True,False,0,True,4,False,False,0,50,,False,4.3431369,50.8244038,2,4259.2592592593,0,0,0,5000,0
8923393,FALSE,PENTHOUSE,235000,1180,70,1,True,False,0,True,3,False,False,0,70,,False,4.342215,50.8144838,2,3150.6849315069,0,0,0,5000,0
8897562,FALSE,APARTMENT,235000,1400,77,2,True,False,0,True,6,False,False,0,77,GOOD,False,4.3092777,50.588189,2,2771.0843373494,0,0,0,5000,0
8890243,FALSE,APARTMENT,220000,9550,115,2,True,False,0,True,14,True,False,0,115,AS_NEW,False,3.8868111,50.8909323,2,989.1472868217,0,0,10000,5000,77400
8650953,FALSE,APARTMENT,237000,1501,90,2,True,False,0,False,0,False,False,0,90,AS_NEW,False,4.2616676,50.7488369,2,1977.7777777778,0,0,0,5000,54000
8742180,FALSE,SERVICE_FLAT,242000,3111,58,1,True,False,0,True,16,False,False,0,58,GOOD,False,4.7505633,50.9466609,2,3202.7027027027,0,0,0,5000,0
8516512,FALSE,APARTMENT,245000,1500,97,2,False,False,0,False,0,False,False,0,97,,False,4.235268,50.7340197,2,2525.7731958763,0,0,0,0,0
